0|I would like a sharp cello
1|Give me a dry acoustic guitar
2|Give me a metal harp
3|Give me a dirty organ
4|Give me a hollow piano
5|Give me a sharp trumpet
6|Give me a cold triangle
7|give me dark drums
8|Give me a soft horn
9|Give me a boring clarinet
10|Give me a smooth operator
11|Give me a simple square bass
12|Give me an orchestral string
13|Give me an analog pad
14|Give me a simple sinus bass
15|Give me a chord preset
16|Get me a 909 closed hi-hat
17|Get me an 808 open hi-hat
18|Give me a round bass
19|Give me a sharp synthesizer
20|Give me a warm cushion
21|Give me a wide stereo pad
22|Give me a mono warm round synthesizer bass
23|Make me a soft flute that sounds like a chirping bird
24|Give me a dark tin sound
25|Can you give me a wailing guitar?
26|Get me a scratchy violin
27|Give me a Star Wars laser beam
28|Can you combine a deep piano sound with a roaring lion?
29|Get me something like a compact beep
30|Give me a funky guitar
31|Give me a percussive violin
32|Give me a percussive guitar
33|Give me a flute-like trumpet sound
34|Something nasal, anything
35|Get Me Out Of Here!
36|Give me a sound like gentle birds
37|I would like a sweet bass
38|A loud piano and a flute please
39|Please give me a brilliant acoustic guitar
40|Give me a hard drum
41|Give me a warm synthesizer
42|Get me a soft male voice
43|I want a clear electric guitar
44|Can I have a smooth violin?
45|A brilliant bass
46|Give a nasal sound like an oboe
